participant, training, transfer, similarity, ntrans
A2WCXJZEXXR60A,aaabaaabaaabaaa,baabaaabaaaabaa,4,9
A32QJF67JMJFKX,aaabaaabaaabaaa,baabaaabaaaabaa,4,9
A1K8QNLYYYX21W,aaabaaabaaabaaa,baabaaabaaaabaa,2,9
A2CHDWKAYZ3P3E,aaabaaabaaabaaa,baabaaabaaaabaa,5,9
A3W24IE6P9O302,aaaabababababab,bbbbbababababab,3,4
A1OZPLHNIU1519,aaaabababababab,bbbbbababababab,2,4
A340UGIDGIF4W6,aaaabababababab,bbbbbababababab,2,4
AETIZKQNUSBLB,aaaabababababab,bbbbbababababab,4,4
A29HDBGSELFSUY,aaaabababababab,bbbbbababababab,1,4
A21EFJ972J40T6,aaaabababababab,bbbbbababababab,1,4
A2WCXJZEXXR60A,aaaabababababab,bbbbbababababab,2,4
A3843S9LWPDN2K,aaaabababababab,bbbbbababababab,5,4
A3PC7DYXJW4I2Z,aaaabababababab,bbbbbababababab,2,4
A3PC7DYXJW4I2Z,aaaabababababab,bbbbbababababab,4,4
A1K8QNLYYYX21W,aaaabababababab,bbbbbababababab,5,4
A1DKVUTOBPQH11,abaabaaabaaaaba,baabaaabaaaabaa,5,3
A21SIPO89DP66I,abaabaaabaaaaba,baabaaabaaaabaa,5,3
A3RS7UCO7CQ74R,abaabaaabaaaaba,baabaaabaaaabaa,2,3
A3W24IE6P9O302,abaabaaabaaaaba,baabaaabaaaabaa,5,3
A109MLAWERUIBG,abaabaaabaaaaba,baabaaabaaaabaa,5,3
A2TBXASXZIRNNW,abaabaaabaaaaba,baabaaabaaaabaa,4,3
A29HDBGSELFSUY,abaabaaabaaaaba,baabaaabaaaabaa,5,3
A2GAQZAZWV01PU,abaabaaabaaaaba,baabaaabaaaabaa,5,3
A2DXSHR0ZWHIYD,abaabaaabaaaaba,baabaaabaaaabaa,4,3
A2S8ZTPKX3B928,abaabaaabaaaaba,baabaaabaaaabaa,2,3
A3843S9LWPDN2K,abaabaaabaaaaba,baabaaabaaaabaa,5,3
A3843S9LWPDN2K,abaabaaabaaaaba,baabaaabaaaabaa,5,3
A32QJF67JMJFKX,abaabaaabaaaaba,baabaaabaaaabaa,4,3
A3KVNVHIYT3JI8,abaabaaabaaaaba,baabaaabaaaabaa,4,3
A4IH4CO046EV3,abaabaaabaaaaba,baabaaabaaaabaa,4,3
A4IH4CO046EV3,abaabaaabaaaaba,baabaaabaaaabaa,4,3
A3PC7DYXJW4I2Z,abaabaaabaaaaba,baabaaabaaaabaa,3,3
A1HN4550TIXQBZ,abaabaaabaaaaba,baabaaabaaaabaa,5,3
A1K8QNLYYYX21W,abaabaaabaaaaba,baabaaabaaaabaa,4,3
A2CHDWKAYZ3P3E,abaabaaabaaaaba,baabaaabaaaabaa,5,3
A19M261KRLO5YZ,aaabaaabaaabaaa,bbaaabbaaabbaaa,3,6
A109MLAWERUIBG,aaabaaabaaabaaa,bbaaabbaaabbaaa,1,6
A1OZPLHNIU1519,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A1OZPLHNIU1519,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A1G187YBG0DVMQ,aaabaaabaaabaaa,bbaaabbaaabbaaa,3,6
A3AFC26CB0AXMI,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A7KLTVEIASF4J,aaabaaabaaabaaa,bbaaabbaaabbaaa,3,6
A7KLTVEIASF4J,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A3FAH5S2RGZ5AK,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A3FBV53GPOAG8X,aaabaaabaaabaaa,bbaaabbaaabbaaa,2,6
A3FBV53GPOAG8X,aaabaaabaaabaaa,bbaaabbaaabbaaa,5,6
A29HDBGSELFSUY,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A21EFJ972J40T6,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A1ZB2NY0F9QNP0,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A1ZB2NY0F9QNP0,aaabaaabaaabaaa,bbaaabbaaabbaaa,5,6
A2GAQZAZWV01PU,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A245RS8249R2TA,aaabaaabaaabaaa,bbaaabbaaabbaaa,1,6
A1F1OZ54G177D8,aaabaaabaaabaaa,bbaaabbaaabbaaa,3,6
A2DXSHR0ZWHIYD,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A3843S9LWPDN2K,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A3843S9LWPDN2K,aaabaaabaaabaaa,bbaaabbaaabbaaa,4,6
A3W24IE6P9O302,bbaaaabbaaaabba,baabaaabaaaabaa,4,9
A1OZPLHNIU1519,bbaaaabbaaaabba,baabaaabaaaabaa,2,9
A2TBXASXZIRNNW,bbaaaabbaaaabba,baabaaabaaaabaa,3,9
A2TBXASXZIRNNW,bbaaaabbaaaabba,baabaaabaaaabaa,4,9
A3FJE9AUW0O41D,bbaaaabbaaaabba,baabaaabaaaabaa,4,9
A1U6A617Q95MTZ,bbaaaabbaaaabba,baabaaabaaaabaa,4,9
A29HDBGSELFSUY,bbaaaabbaaaabba,baabaaabaaaabaa,2,9
A1X84T4EFW04GZ,bbaaaabbaaaabba,baabaaabaaaabaa,4,9
A1DDBGQDMZZ1VW,bbaaaabbaaaabba,baabaaabaaaabaa,2,9
AA7ASGQEOMKEZ,bbaaaabbaaaabba,baabaaabaaaabaa,2,9
AWCO7MG0BHSTQ,bbaaaabbaaaabba,baabaaabaaaabaa,2,9
A2OVX9UW5WANQE,bbaaaabbaaaabba,baabaaabaaaabaa,4,9
A32QJF67JMJFKX,bbaaaabbaaaabba,baabaaabaaaabaa,2,9
A34VY22YEREOOI,bbaaaabbaaaabba,baabaaabaaaabaa,1,9
A2CHDWKAYZ3P3E,bbaaaabbaaaabba,baabaaabaaaabaa,2,9
A19M261KRLO5YZ,bbaaaabbaaaabba,bbaaabbaaabbaaa,2,4
A21SIPO89DP66I,bbaaaabbaaaabba,bbaaabbaaabbaaa,4,4
A1G187YBG0DVMQ,bbaaaabbaaaabba,bbaaabbaaabbaaa,4,4
A3L2UB07EZJAMD,bbaaaabbaaaabba,bbaaabbaaabbaaa,4,4
A10DEO061A6L3O,bbaaaabbaaaabba,bbaaabbaaabbaaa,5,4
A10DEO061A6L3O,bbaaaabbaaaabba,bbaaabbaaabbaaa,4,4
A21EFJ972J40T6,bbaaaabbaaaabba,bbaaabbaaabbaaa,4,4
A2LRC60NMMJHEW,bbaaaabbaaaabba,bbaaabbaaabbaaa,3,4
A8TK3JACM5EM,bbaaaabbaaaabba,bbaaabbaaabbaaa,5,4
A1ZB2NY0F9QNP0,bbaaaabbaaaabba,bbaaabbaaabbaaa,5,4
A1S3KHENQOCCVE,bbaaaabbaaaabba,bbaaabbaaabbaaa,4,4
A1WOV2JIV5I9VE,bbaaaabbaaaabba,bbaaabbaaabbaaa,4,4
AWCO7MG0BHSTQ,bbaaaabbaaaabba,bbaaabbaaabbaaa,5,4
AWCO7MG0BHSTQ,bbaaaabbaaaabba,bbaaabbaaabbaaa,4,4
A2OVX9UW5WANQE,bbaaaabbaaaabba,bbaaabbaaabbaaa,5,4
A2WCXJZEXXR60A,bbaaaabbaaaabba,bbaaabbaaabbaaa,4,4
A4IH4CO046EV3,bbaaaabbaaaabba,bbaaabbaaabbaaa,5,4
A1HN4550TIXQBZ,bbaaaabbaaaabba,bbaaabbaaabbaaa,5,4
A2WGW5Y3ZFBDEC,abaabaaabaaaaba,aabaabaabaabaab,4,6
A109MLAWERUIBG,abaabaaabaaaaba,aabaabaabaabaab,2,6
A340UGIDGIF4W6,abaabaaabaaaaba,aabaabaabaabaab,4,6
A3FAH5S2RGZ5AK,abaabaaabaaaaba,aabaabaabaabaab,2,6
AA7ASGQEOMKEZ,abaabaaabaaaaba,aabaabaabaabaab,4,6
A1S3KHENQOCCVE,abaabaaabaaaaba,aabaabaabaabaab,4,6
A2DXSHR0ZWHIYD,abaabaaabaaaaba,aabaabaabaabaab,4,6
A2OVX9UW5WANQE,abaabaaabaaaaba,aabaabaabaabaab,5,6
A34VY22YEREOOI,abaabaaabaaaaba,aabaabaabaabaab,2,6
A3PC7DYXJW4I2Z,abaabaaabaaaaba,aabaabaabaabaab,3,6
A19M261KRLO5YZ,aaabaaabaaabaaa,bbbbbababababab,2,12
A39YBLQYIUBR76,aaabaaabaaabaaa,bbbbbababababab,1,12
A2TBXASXZIRNNW,aaabaaabaaabaaa,bbbbbababababab,2,12
A3QEVFM3UD67BA,aaabaaabaaabaaa,bbbbbababababab,1,12
A3FJE9AUW0O41D,aaabaaabaaabaaa,bbbbbababababab,1,12
A1X84T4EFW04GZ,aaabaaabaaabaaa,bbbbbababababab,2,12
A1DDBGQDMZZ1VW,aaabaaabaaabaaa,bbbbbababababab,2,12
A2GAQZAZWV01PU,aaabaaabaaabaaa,bbbbbababababab,3,12
A3RHGIM99R25Q9,aaabaaabaaabaaa,bbbbbababababab,2,12
A4J4GGMKJ68L0,aaabaaabaaabaaa,bbbbbababababab,1,12
A3KVNVHIYT3JI8,aaabaaabaaabaaa,bbbbbababababab,4,12
A1K8QNLYYYX21W,aaabaaabaaabaaa,bbbbbababababab,2,12
A21SIPO89DP66I,bbaaaabbaaaabba,bbbbbababababab,1,9
A3W24IE6P9O302,bbaaaabbaaaabba,bbbbbababababab,4,9
A21ZMR7O42OSMI,bbaaaabbaaaabba,bbbbbababababab,2,9
A3FJE9AUW0O41D,bbaaaabbaaaabba,bbbbbababababab,2,9
ADGQOL6YC087W,bbaaaabbaaaabba,bbbbbababababab,1,9
A21EFJ972J40T6,bbaaaabbaaaabba,bbbbbababababab,1,9
A1DDBGQDMZZ1VW,bbaaaabbaaaabba,bbbbbababababab,2,9
AA7ASGQEOMKEZ,bbaaaabbaaaabba,bbbbbababababab,2,9
A1S3KHENQOCCVE,bbaaaabbaaaabba,bbbbbababababab,2,9
A2S8ZTPKX3B928,bbaaaabbaaaabba,bbbbbababababab,1,9
A32QJF67JMJFKX,bbaaaabbaaaabba,bbbbbababababab,2,9
A32QJF67JMJFKX,bbaaaabbaaaabba,bbbbbababababab,2,9
A4J4GGMKJ68L0,bbaaaabbaaaabba,bbbbbababababab,1,9
A34VY22YEREOOI,bbaaaabbaaaabba,bbbbbababababab,1,9
A3PC7DYXJW4I2Z,bbaaaabbaaaabba,bbbbbababababab,1,9
A19M261KRLO5YZ,aaaabababababab,aaaaaabbbbbbbbb,1,10
A39YBLQYIUBR76,aaaabababababab,aaaaaabbbbbbbbb,1,10
A2OTDMCV8CZWML,aaaabababababab,aaaaaabbbbbbbbb,2,10
A29HDBGSELFSUY,aaaabababababab,aaaaaabbbbbbbbb,2,10
A21EFJ972J40T6,aaaabababababab,aaaaaabbbbbbbbb,1,10
A21EFJ972J40T6,aaaabababababab,aaaaaabbbbbbbbb,1,10
A2LRC60NMMJHEW,aaaabababababab,aaaaaabbbbbbbbb,1,10
A38TZK07ON180S,aaaabababababab,aaaaaabbbbbbbbb,2,10
A1ZB2NY0F9QNP0,aaaabababababab,aaaaaabbbbbbbbb,1,10
A245RS8249R2TA,aaaabababababab,aaaaaabbbbbbbbb,1,10
A1WOV2JIV5I9VE,aaaabababababab,aaaaaabbbbbbbbb,2,10
A1WOV2JIV5I9VE,aaaabababababab,aaaaaabbbbbbbbb,2,10
A34VY22YEREOOI,aaaabababababab,aaaaaabbbbbbbbb,1,10
A4IH4CO046EV3,aaaabababababab,aaaaaabbbbbbbbb,1,10
A1HN4550TIXQBZ,aaaabababababab,aaaaaabbbbbbbbb,1,10
A1HN4550TIXQBZ,aaaabababababab,aaaaaabbbbbbbbb,1,10
A12R2U6TBB3OOG,aaaabababababab,aaaaaabbbbbbbbb,2,10
A2WGW5Y3ZFBDEC,aaabaaabaaabaaa,aaaaaabbbbbbbbb,1,9
A340UGIDGIF4W6,aaabaaabaaabaaa,aaaaaabbbbbbbbb,2,9
A340UGIDGIF4W6,aaabaaabaaabaaa,aaaaaabbbbbbbbb,2,9
A1G187YBG0DVMQ,aaabaaabaaabaaa,aaaaaabbbbbbbbb,2,9
ADGQOL6YC087W,aaabaaabaaabaaa,aaaaaabbbbbbbbb,1,9
A3L2UB07EZJAMD,aaabaaabaaabaaa,aaaaaabbbbbbbbb,1,9
A1X84T4EFW04GZ,aaabaaabaaabaaa,aaaaaabbbbbbbbb,2,9
A21EFJ972J40T6,aaabaaabaaabaaa,aaaaaabbbbbbbbb,1,9
A38TZK07ON180S,aaabaaabaaabaaa,aaaaaabbbbbbbbb,2,9
A38TZK07ON180S,aaabaaabaaabaaa,aaaaaabbbbbbbbb,2,9
A8TK3JACM5EM,aaabaaabaaabaaa,aaaaaabbbbbbbbb,1,9
A8TK3JACM5EM,aaabaaabaaabaaa,aaaaaabbbbbbbbb,1,9
A1WOV2JIV5I9VE,aaabaaabaaabaaa,aaaaaabbbbbbbbb,1,9
A1K8QNLYYYX21W,aaabaaabaaabaaa,aaaaaabbbbbbbbb,2,9
A21SIPO89DP66I,aaabaaabaaabaaa,ababbababbababb,3,9
A2WGW5Y3ZFBDEC,aaabaaabaaabaaa,ababbababbababb,2,9
A3RS7UCO7CQ74R,aaabaaabaaabaaa,ababbababbababb,3,9
A3W24IE6P9O302,aaabaaabaaabaaa,ababbababbababb,4,9
A1OZPLHNIU1519,aaabaaabaaabaaa,ababbababbababb,2,9
A2TBXASXZIRNNW,aaabaaabaaabaaa,ababbababbababb,2,9
A2TBXASXZIRNNW,aaabaaabaaabaaa,ababbababbababb,2,9
ADGQOL6YC087W,aaabaaabaaabaaa,ababbababbababb,2,9
