participant, training, transfer, similarity, ntrans
A1HN4550TIXQBZ,bbbbaaaaaaaaaaa,baabaaabaaaabaa,1,8
A1K8QNLYYYX21W,bbbbaaaaaaaaaaa,baabaaabaaaabaa,4,8
A2CHDWKAYZ3P3E,bbbbaaaaaaaaaaa,baabaaabaaaabaa,2,8
A39YBLQYIUBR76,babaababaababaa,aabaabaabaabaab,2,7
A2OTDMCV8CZWML,babaababaababaa,aabaabaabaabaab,4,7
A3QEVFM3UD67BA,babaababaababaa,aabaabaabaabaab,2,7
A3QEVFM3UD67BA,babaababaababaa,aabaabaabaabaab,2,7
A3FAH5S2RGZ5AK,babaababaababaa,aabaabaabaabaab,2,7
A3MD34XEB4H6JF,babaababaababaa,aabaabaabaabaab,4,7
A3FBV53GPOAG8X,babaababaababaa,aabaabaabaabaab,5,7
A1X84T4EFW04GZ,babaababaababaa,aabaabaabaabaab,4,7
A245RS8249R2TA,babaababaababaa,aabaabaabaabaab,2,7
A1F1OZ54G177D8,babaababaababaa,aabaabaabaabaab,4,7
A2DXSHR0ZWHIYD,babaababaababaa,aabaabaabaabaab,4,7
AWCO7MG0BHSTQ,babaababaababaa,aabaabaabaabaab,2,7
A3KVNVHIYT3JI8,babaababaababaa,aabaabaabaabaab,5,7
A19M261KRLO5YZ,babaababaababaa,ababbababbababb,3,2
A1MYDAL453CN5Q,babaababaababaa,ababbababbababb,4,2
A1DKVUTOBPQH11,babaababaababaa,ababbababbababb,5,2
A21SIPO89DP66I,babaababaababaa,ababbababbababb,4,2
A109MLAWERUIBG,babaababaababaa,ababbababbababb,4,2
A1G187YBG0DVMQ,babaababaababaa,ababbababbababb,4,2
A7KLTVEIASF4J,babaababaababaa,ababbababbababb,2,2
A2OTDMCV8CZWML,babaababaababaa,ababbababbababb,4,2
A2OTDMCV8CZWML,babaababaababaa,ababbababbababb,4,2
A3QEVFM3UD67BA,babaababaababaa,ababbababbababb,2,2
A3L2UB07EZJAMD,babaababaababaa,ababbababbababb,4,2
A3L2UB07EZJAMD,babaababaababaa,ababbababbababb,4,2
